oper_data;oper_cv;oper_corret;oper_tipo;oper_ticker;oper_qtd;oper_preco_unit;oper_valor;oper_taxas;oper_ir;oper_moeda
17/05/2018;C;MyCap;Ação;RADL3;100;70,53;7053;7,39;0;BRL
24/05/2018;V;MyCap;Ação;BBAS3;-300;30,64;9192;8,81;0;BRL
24/05/2018;C;MyCap;Ação;CSNA3;100;8,71;871;5,36;0;BRL
24/05/2018;C;MyCap;Ação;PETR4;400;20,62;8248;8,41;0;BRL
29/06/2018;V;MyCap;Ação;VALE3;-400;49,4;19760;11,39;0;BRL
02/07/2018;C;MyCap;Ação;VALE3;400;48,95;19580;11,34;0;BRL
30/07/2018;V;MyCap;Ação;MGLU3;-3200;4,09;13079;9,3;0;BRL
31/07/2018;C;MyCap;Ação;MGLU3;3200;4,05;12970;9,56;0;BRL
01/08/2018;C;MyCap;Ação;BBAS3;200;32,95;6590;7,27;0;BRL
01/08/2018;C;MyCap;Ação;QGEP3;100;16,16;1616;5,56;0;BRL
09/08/2018;V;MyCap;Ação;MGLU3;-3200;4,59;14700;9,87;0;BRL
10/08/2018;C;MyCap;Ação;MGLU3;3200;4,5;14390;9,76;0;BRL
16/08/2018;C;MyCap;Ação;QGEP3;100;12,11;1211;5,49;0;BRL
19/09/2018;V;MyCap;Ação;VALE3;-300;58,65;17595;10,79;0;BRL
20/09/2018;C;MyCap;Ação;CSNA3;100;8,92;892;5,3;0;BRL
20/09/2018;C;MyCap;Ação;VALE3;300;59,5;17850;10,96;0;BRL
21/09/2018;C;MyCap;Ação;GOLL4;200;11,4;2280;5,83;0;BRL
21/09/2018;V;MyCap;Ação;QGEP3;-200;11,97;2394;5,87;0;BRL
16/10/2018;V;MyCap;Ação;MGLU3;-3200;4,92;15730;10,2;0;BRL
17/10/2018;C;MyCap;Ação;MGLU3;3200;4,91;15700;10,19;0;BRL
07/11/2018;V;MyCap;Ação;MGLU3;-6400;4,77;30520;16,23;0;BRL
08/11/2018;C;MyCap;Ação;MGLU3;3200;4,65;14880;9,85;0;BRL
08/11/2018;C;MyCap;Ação;PETR4;200;26,56;5312;6,73;0;BRL
08/11/2018;C;MyCap;Ação;VALE3;100;58,3;5830;6,91;0;BRL
09/11/2018;C;MyCap;Ação;GOLL4;200;19,65;3930;6,33;0;BRL
26/11/2018;V;MyCap;Ação;BBAS3;-200;43,65;8730;7,84;0;BRL
26/11/2018;V;MyCap;Ação;GOLL4;-400;20,4;8160;7,66;0;BRL
26/11/2018;C;MyCap;Ação;MGLU3;3200;4,99;15977;10,2;0;BRL
30/11/2018;C;MyCap;Ação;GOLL4;400;21,18;8472;7,96;0;BRL
30/11/2018;V;MyCap;Ação;RADL3;-100;62;6200;7,17;0;BRL
07/12/2018;V;MyCap;Ação;GOLL4;-200;19,68;3936;6,34;0;BRL
07/12/2018;C;MyCap;Ação;NTCO3;100;42,84;4284;6,46;0;BRL
18/12/2018;V;MyCap;Ação;CSNA3;-600;9,29;5574;7,08;0;BRL
18/12/2018;V;MyCap;Ação;GOLL4;-200;24,5;4900;6,83;0;BRL
18/12/2018;V;MyCap;Ação;MGLU3;-6400;5,41;34600;17,93;0;BRL
18/12/2018;V;MyCap;Ação;NTCO3;-100;44,2;4420;6,65;0;BRL
18/12/2018;V;MyCap;Ação;PETR4;-1200;22,62;27144;15,14;0;BRL
18/12/2018;V;MyCap;Ação;VALE3;-900;51,85;46665;22,44;0;BRL
28/12/2018;C;MyCap;Ação;GOLL4;100;24,71;2471;5,81;0;BRL
28/12/2018;C;MyCap;Ação;MGLU3;3200;5,61;17937;10,9;0;BRL
28/12/2018;C;MyCap;Ação;PETR4;200;22,29;4458;6,47;0;BRL
28/12/2018;C;MyCap;Ação;VALE3;200;50,6;10120;8,32;0;BRL
03/01/2019;C;MyCap;Ação;PETR4;200;24,55;4910;6,72;0;BRL
03/01/2019;C;MyCap;Ação;CIEL3;200;9,75;1950;5,69;0;BRL
03/01/2019;C;MyCap;Ação;GOLL4;100;25,62;2562;5,9;0;BRL
01/02/2019;C;MyCap;Ação;VALE3;100;45,98;4598;6,56;0;BRL
15/02/2019;C;MyCap;Ação;CIEL3;100;10,98;1098;5,44;0;BRL
28/02/2019;V;MyCap;Ação;GOLL4;-200;27,62;5524;6,83;0;BRL
01/03/2019;C;MyCap;Ação;GOLL4;200;26,72;5344;6,77;0;BRL
11/03/2019;V;MyCap;Ação;PETR4;-400;27,74;11096;8,61;0;BRL
12/03/2019;C;MyCap;Ação;PETR4;400;27,75;11100;8,61;0;BRL
01/04/2019;C;MyCap;Ação;CSNA3;100;16,8;1680;5,62;0;BRL
03/05/2019;C;MyCap;Ação;CSNA3;200;14,08;2816;6,03;0;BRL
03/05/2019;C;MyCap;Ação;GOAU4;200;6,88;1376;5,5;0;BRL
30/05/2019;V;MyCap;Ação;MGLU3;-3200;6,03;19299;11,25;0;BRL
31/05/2019;C;MyCap;Ação;MGLU3;3200;6,07;19432;11,29;0;BRL
17/07/2019;V;MyCap;Ação;CIEL3;-300;6,9;2070;5,75;0;BRL
17/07/2019;C;MyCap;Ação;GOAU4;300;7;2100;5,76;0;BRL
04/09/2019;C;MyCap;Ação;CIEL3;200;7,94;1588;5,6;0;BRL
04/09/2019;C;MyCap;Ação;ITSA4;100;12,07;1207;5,46;0;BRL
10/09/2019;C;XP;FII;HGCR11;8;118,66;949,28;0,29;0;BRL
10/09/2019;C;XP;FII;XPML11;9;112,3;1010,7;0,31;0;BRL
10/09/2019;C;XP;FII;MALL11;9;102,71;924,39;0,29;0;BRL
10/09/2019;C;XP;FII;VRTA11;7;124,35;870,45;0,27;0;BRL
10/09/2019;C;XP;FII;VRTA11;2;124,12;248,24;0,08;0;BRL
10/09/2019;C;XP;FII;RBRR11;8;106,02;848,16;0,26;0;BRL
10/09/2019;C;XP;FII;RBRR11;2;106;212;0,07;0;BRL
10/09/2019;C;XP;FII;HGLG11;6;154,74;928,44;0,29;0;BRL
23/09/2019;C;MyCap;Ação;WEGE3;100;24,13;2413;5,85;0;BRL
23/09/2019;C;MyCap;Ação;MDIA3;100;35,93;3593;6,27;0;BRL
23/09/2019;C;MyCap;Ação;RLOG3;100;20,43;2043;5,72;0;BRL
23/09/2019;C;MyCap;Ação;CIEL3;200;8,54;1708;5,6;0;BRL
23/09/2019;C;XP;FII;ABCP11;34;94;3196;1;0;BRL
23/09/2019;C;XP;FII;HGRE11;20;159,16;3183,2;0,99;0;BRL
23/09/2019;C;XP;FII;VRTA11;17;123,9;2106,3;0,66;0;BRL
23/09/2019;C;XP;FII;RBRR11;21;103,51;2173,71;0,68;0;BRL
23/09/2019;C;XP;FII;MALL11;21;103,92;2182,32;0,68;0;BRL
23/09/2019;C;XP;FII;XPLG11;23;103,08;2370,84;0,74;0;BRL
23/09/2019;C;XP;FII;XPML11;19;111,42;2116,98;0,66;0;BRL
23/09/2019;C;XP;FII;HGCR11;19;119,18;2264,42;0,71;0;BRL
23/09/2019;C;XP;FII;HGLG11;15;153,5;2302,5;0,72;0;BRL
24/09/2019;C;XP;FII;XPLG11;10;101;1010;8,3;0;BRL
27/09/2019;C;XP;FII;ABCP11;1;93,94;93,94;0,03;0;BRL
27/09/2019;C;XP;FII;MALL11;1;104,27;104,27;0,03;0;BRL
27/09/2019;C;XP;FII;RBRR11;1;104,19;104,19;0,03;0;BRL
03/10/2019;C;MyCap;Ação;ITSA4;100;12,65;1265;5,49;0;BRL
