rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
31/05/2019;Saídas;MyCap;Cash;MyCap Conta Invest;196,06;0;BRL
01/06/2019;Entradas;MyCap;Cash;MyCap Conta Invest;0;27,87;BRL
30/06/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;10000;BRL
30/06/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;15,88;BRL
30/06/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;11032,09;0;BRL
01/07/2019;Entradas;XP;Cash;XP Conta Invest;0;16,63;BRL
31/07/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;9000;BRL
31/07/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;9,09;BRL
31/07/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;10922,29;0;BRL
31/07/2019;Saídas;MyCap;Cash;MyCap Conta Invest;15,62;0;BRL
01/08/2019;Entradas;MyCap;Cash;MyCap Conta Invest;0;10;BRL
01/08/2019;Entradas;XP;Cash;XP Conta Invest;0;147,59;BRL
31/08/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;8000;BRL
31/08/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;7,1;BRL
31/08/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;7657,39;0;BRL
01/09/2019;Entradas;MyCap;Cash;MyCap Conta Invest;0;63,95;BRL
30/09/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;5500;BRL
30/09/2019;Aplicação;Inter;CDB;CDB Liquidez Diária;0;10800;BRL
30/09/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;8,47;BRL
30/09/2019;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;2,92;BRL
30/09/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;5858,18;0;BRL
30/09/2019;Resgate;Inter;CDB;CDB Liquidez Diária;10802,92;0;BRL
